Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,68010,65,30.0,30.8,31.0,29.9,30.0,0.0,0.0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,3889,18,13.3,13.2,13.8,13.2,13.3,0.0,0.0
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,11481,38,70.1,70.0,70.1,69.0,69.9,-0.2,-0.29
B P P L HOLDINGS PLC,BPPL.N0000,32357,33,20.2,20.6,21.3,20.2,21.0,0.8,3.96
BAIRAHA FARMS PLC,BFL.N0000,43527,147,410.0,419.0,421.0,410.0,419.75,9.75,2.38
BALANGODA PLANTATIONS PLC,BALA.N0000,13314,31,76.0,75.2,76.1,74.2,75.3,-0.7,-0.92
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2,2,21.7,22.8,22.8,22.8,21.7,0.0,0.0
BERUWALA RESORTS PLC,BERU.N0000,11134,12,3.8,3.7,3.9,3.7,3.8,0.0,0.0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,88200,251,147.0,149.5,149.5,140.0,141.25,-5.75,-3.91
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,158,7,77.8,77.6,77.6,77.4,77.4,-0.4,-0.51
BROWN & COMPANY PLC,BRWN.N0000,7942,36,165.75,165.0,169.0,162.25,167.5,1.75,1.06
BROWNS BEACH HOTELS PLC,BBH.N0000,249,6,24.7,24.0,24.0,24.0,24.0,-0.7,-2.83
BROWNS INVESTMENTS PLC,BIL.N0000,1078140,147,6.8,6.8,6.8,6.7,6.7,-0.1,-1.47
BUKIT DARAH PLC,BUKI.N0000,763,18,1047.5,1055.0,1056.0,1050.0,1050.0,2.5,0.24
C I C HOLDINGS PLC,CIC.N0000,550956,168,32.8,33.0,33.4,32.8,33.3,0.5,1.52
C I C HOLDINGS PLC,CIC.X0000,185754,127,25.9,26.0,26.3,25.8,26.0,0.1,0.39
C M HOLDINGS PLC,COLO.N0000,12757,51,58.3,58.7,59.7,57.0,57.1,-1.2,-2.06
C T HOLDINGS PLC,CTHR.N0000,220,15,635.75,651.0,651.0,632.25,636.0,0.25,0.04
C T LAND DEVELOPMENT PLC,CTLD.N0000,1018,9,37.4,38.6,38.6,38.4,38.4,1.0,2.67
C. W. MACKIE PLC,CWM.N0000,28071,64,149.0,149.75,152.5,147.0,150.75,1.75,1.17
CABLE SOLUTIONS PLC,CSLK.N0000,103432,38,14.7,14.6,15.0,14.6,14.6,-0.1,-0.68
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,2,2,14.0,14.9,14.9,14.9,14.0,0.0,0.0
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,38,3,14.0,14.3,14.3,14.0,14.0,0.0,0.0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,176174,126,15.9,15.9,16.0,15.8,15.9,0.0,0.0
CAPITAL ALLIANCE PLC,CALT.N0000,53576,55,51.0,51.9,51.9,51.4,51.5,0.5,0.98
CARGILLS (CEYLON) PLC,CARG.N0000,161,14,804.0,804.5,804.5,800.0,800.25,-3.75,-0.47
CARGILLS BANK PLC,CBNK.N0000,495325,125,9.7,9.8,9.9,9.7,9.9,0.2,2.06
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,160,10,164.0,164.75,165.0,158.25,158.25,-5.75,-3.51
CARSON CUMBERBATCH PLC,CARS.N0000,137,13,774.75,774.0,799.75,770.0,774.25,-0.5,-0.06
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,7992,70,283.0,283.0,287.0,279.0,281.5,-1.5,-0.53
CENTRAL INDUSTRIES PLC,CIND.N0000,44670,97,255.0,255.0,256.25,250.25,255.25,0.25,0.1
CEYLINCO HOLDINGS PLC,CINS.N0000,45,6,3283.0,3184.5,3184.5,3100.0,3283.0,0.0,0.0
CEYLINCO HOLDINGS PLC,CINS.X0000,27,3,1752.0,1790.0,1790.0,1790.0,1752.0,0.0,0.0
CEYLON COLD STORES PLC,CCS.N0000,63046,106,110.0,110.0,110.0,108.0,108.0,-2.0,-1.82
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,118380,206,396.25,405.0,415.0,397.0,409.25,13.0,3.28
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,2376,48,275.75,272.5,272.5,264.0,265.0,-10.75,-3.9
CEYLON HOSPITALS PLC,CHL.X0000,1,1,199.75,200.0,200.0,200.0,199.75,0.0,0.0
CEYLON HOSPITALS PLC,CHL.N0000,112,5,271.25,256.5,274.0,256.5,273.75,2.5,0.92
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,375680,44,39.1,39.0,39.8,39.0,39.4,0.3,0.77
CEYLON INVESTMENT PLC,CINV.N0000,20942,74,127.75,126.5,128.75,124.25,125.75,-2.0,-1.57
CEYLON LAND & EQUITY PLC,KZOO.N0000,13360,18,11.2,11.3,11.3,11.1,11.1,-0.1,-0.89
CEYLON TEA BROKERS PLC,CTBL.N0000,85255,68,8.7,8.5,8.8,8.1,8.2,-0.5,-5.75
CEYLON TOBACCO COMPANY PLC,CTC.N0000,7784,46,1694.75,1699.0,1699.0,1690.0,1697.75,3.0,0.18
CHEMANEX PLC,CHMX.N0000,41,3,167.5,175.0,175.0,174.25,167.5,0.0,0.0
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,8190,81,180.0,181.25,181.25,179.75,180.0,0.0,0.0
CHRISSWORLD PLC,CWL.N0000,809,6,13.0,14.0,14.0,13.7,14.0,1.0,7.69
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,1025,10,297.25,299.0,299.0,285.25,298.75,1.5,0.5
CITRUS LEISURE PLC,REEF.N0000,38249,24,4.2,4.4,4.4,4.2,4.3,0.1,2.38
Co-operative Insurance Company PLC,COOP.N0000,1922107,187,4.2,4.4,4.4,4.0,4.1,-0.1,-2.38
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,5223,29,141.25,144.0,158.5,135.0,141.25,0.0,0.0
COLOMBO DOCKYARD PLC,DOCK.N0000,1549041,3009,234.25,236.0,236.0,210.0,228.75,-5.5,-2.35
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,899,24,445.0,445.0,450.0,434.0,440.5,-4.5,-1.01
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,1249,22,494.5,490.0,490.25,469.0,483.5,-11.0,-2.22
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,85577,32,43.3,43.0,45.5,43.0,43.6,0.3,0.69
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,304551,283,201.5,201.75,201.75,199.5,200.5,-1.0,-0.5
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,14709,79,190.0,191.5,191.5,188.5,189.25,-0.75,-0.39
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,35398,166,128.75,128.5,128.5,126.25,126.75,-2.0,-1.55
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,90,4,271.0,281.5,281.5,270.0,271.0,0.0,0.0
CONVENIENCE FOODS LANKA PLC,SOY.N0000,12,4,2215.5,2230.0,2230.0,2225.0,2215.5,0.0,0.0
DANKOTUWA PORCELAIN PLC,DPL.N0000,47448,53,17.4,17.4,17.5,17.0,17.1,-0.3,-1.72
DFCC BANK PLC,DFCC.N0000,164720,325,150.0,151.0,152.0,148.5,148.75,-1.25,-0.83
DIALOG AXIATA PLC,DIAL.N0000,417582,149,29.5,29.9,29.9,29.4,29.5,0.0,0.0
DIALOG FINANCE PLC,CALF.N0000,2361,22,99.5,101.75,101.75,93.7,99.8,0.3,0.3
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1386,39,2040.0,2050.0,2099.0,2050.0,2087.25,47.25,2.32
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,67397,107,148.25,149.75,151.0,147.0,147.0,-1.25,-0.84
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,144,30,1140.75,1160.75,1300.0,1150.0,1240.0,99.25,8.7
DIPPED PRODUCTS PLC,DIPD.N0000,176508,86,60.4,61.2,61.2,60.4,60.7,0.3,0.5
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,63492,163,58.5,59.0,59.0,57.0,57.1,-1.4,-2.39
DOLPHIN HOTELS PLC,STAF.N0000,19697,17,57.7,59.0,59.0,57.0,57.5,-0.2,-0.35
E - CHANNELLING PLC,ECL.N0000,12602,16,16.1,16.5,16.8,16.0,16.0,-0.1,-0.62
E B CREASY & COMPANY PLC,EBCR.N0000,83811,17,62.5,62.0,63.2,62.0,62.5,0.0,0.0
E M L CONSULTANTS PLC,EML.N0000,34510,20,4.8,4.8,5.0,4.7,4.9,0.1,2.08
EAST WEST PROPERTIES PLC,EAST.N0000,196546,137,66.0,66.8,67.0,64.5,66.0,0.0,0.0
EASTERN MERCHANTS PLC,EMER.N0000,7215,15,10.8,11.1,11.2,10.9,10.9,0.1,0.93
EDEN HOTEL LANKA PLC,EDEN.N0000,49245,39,13.4,13.6,13.7,13.2,13.3,-0.1,-0.75
ELPITIYA PLANTATIONS PLC,ELPL.N0000,4990,20,160.0,161.0,161.0,160.0,160.0,0.0,0.0
EQUITY TWO PLC,ETWO.N0000,838,9,79.6,79.3,79.3,79.1,79.1,-0.5,-0.63
Ex-pack Corrugated Cartons PLC,PACK.N0000,28856,26,13.7,14.0,14.0,13.7,13.9,0.2,1.46
EXTERMINATORS PLC,EXT.N0000,19044,34,7.3,7.4,7.5,7.1,7.4,0.1,1.37
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,59807,147,58.9,59.0,59.2,58.5,58.7,-0.2,-0.34
First Capital Treasuries PLC,FCT.N0000,30830,67,31.2,31.4,31.4,31.1,31.3,0.1,0.32
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,25125,35,18.7,18.9,19.0,18.7,18.9,0.2,1.07
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,11849,21,94.8,94.3,94.8,94.3,94.8,0.0,0.0
GESTETNER OF CEYLON PLC,GEST.N0000,276,6,213.5,222.0,226.75,222.0,226.75,13.25,6.21
GREENTECH ENERGY PLC,MEL.N0000,103639,44,4.2,4.3,4.3,4.1,4.2,0.0,0.0
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,1909,21,56.3,56.0,56.0,55.0,55.3,-1.0,-1.78
HARISCHANDRA MILLS PLC,HARI.N0000,7,6,5446.0,5400.0,5500.0,5400.0,5446.0,0.0,0.0
HATTON NATIONAL BANK PLC,HNB.X0000,46870,91,315.25,318.0,318.0,315.0,316.5,1.25,0.4
HATTON NATIONAL BANK PLC,HNB.N0000,642685,193,395.0,398.5,398.5,392.0,392.75,-2.25,-0.57
HATTON PLANTATIONS PLC,HPL.N0000,46473,54,25.0,25.7,25.7,25.0,25.4,0.4,1.6
HAYCARB PLC,HAYC.N0000,168995,73,101.0,104.75,106.5,103.25,106.0,5.0,4.95
HAYLEYS FABRIC PLC,MGT.N0000,21368,34,39.5,39.9,40.0,39.5,39.7,0.2,0.51
HAYLEYS FIBRE PLC,HEXP.N0000,10227,26,75.0,75.3,79.3,75.2,75.5,0.5,0.67
HAYLEYS LEISURE PLC,CONN.N0000,2923,13,39.0,39.8,39.8,39.0,39.0,0.0,0.0
HAYLEYS PLC,HAYL.N0000,180275,154,190.75,192.0,194.0,190.0,193.75,3.0,1.57
HELA APPAREL HOLDINGS PLC,HELA.N0000,912583,110,3.2,3.3,3.3,3.1,3.2,0.0,0.0
HEMAS HOLDINGS PLC,HHL.N0000,1081374,478,36.0,36.1,36.6,35.8,36.5,0.5,1.39
HIKKADUWA BEACH RESORT PLC,CITH.N0000,490495,62,3.9,3.9,4.0,3.8,3.9,0.0,0.0
HNB ASSURANCE PLC,HASU.N0000,51226,48,100.0,103.0,103.0,100.0,100.0,0.0,0.0
HNB FINANCE PLC,HNBF.N0000,71014,63,7.8,8.0,8.0,7.7,7.8,0.0,0.0
HNB FINANCE PLC,HNBF.X0000,8967,19,7.8,7.4,7.8,7.4,7.6,-0.2,-2.56
HORANA PLANTATIONS PLC,HOPL.N0000,12201,26,53.7,56.7,56.7,54.0,54.0,0.3,0.56
HOTEL SIGIRIYA PLC,HSIG.N0000,2096,12,100.0,106.0,106.0,104.0,104.0,4.0,4.0
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,26851,46,58.9,60.0,60.0,58.5,58.6,-0.3,-0.51
hSenid Business Solutions PLC,HBS.N0000,120466,30,16.7,16.9,16.9,16.7,16.8,0.1,0.6
HUNAS HOLDINGS PLC,HUNA.N0000,17297,13,22.1,22.3,22.3,21.0,21.1,-1.0,-4.52
HUNTER & COMPANY PLC,HUNT.N0000,2,2,1200.75,1131.0,1131.0,1130.0,1200.75,0.0,0.0
HVA FOODS PLC,HVA.N0000,28861,25,3.6,3.6,3.7,3.5,3.6,0.0,0.0
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,11343752,121,0.4,0.5,0.5,0.4,0.5,0.1,25.0
INSUREME INSURANCE BROKERS LIMITED,INME.N0000,51,19,2353.0,2353.0,2353.0,2150.0,2353.0,0.0,0.0
JANASHAKTHI FINANCE PLC,BFN.N0000,980,6,38.6,39.5,39.5,39.5,39.5,0.9,2.33
JANASHAKTHI INSURANCE PLC,JINS.N0000,3568,50,130.75,133.5,136.75,130.5,133.5,2.75,2.1
JAT HOLDINGS PLC,JAT.N0000,141494,142,49.5,49.7,50.5,48.8,49.3,-0.2,-0.4
JETWING SYMPHONY PLC,JETS.N0000,62610,55,19.9,20.1,20.1,19.8,19.9,0.0,0.0
JF PACKAGING LIMITED,JFP.N0000,631567,170,13.5,13.7,13.8,13.1,13.7,0.2,1.48
JOHN KEELLS HOLDINGS PLC,JKH.N0000,6155799,471,21.0,21.1,21.5,21.0,21.2,0.2,0.95
JOHN KEELLS HOTELS PLC,KHL.N0000,372730,99,22.0,22.0,22.5,21.8,21.9,-0.1,-0.45
JOHN KEELLS PLC,JKL.N0000,1757,12,80.4,82.5,82.5,80.5,81.9,1.5,1.87
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,565,17,21.4,23.0,23.0,21.4,21.5,0.1,0.47
KAPRUKA HOLDINGS PLC,KPHL.N0000,71631,39,10.0,10.2,10.8,9.9,10.4,0.4,4.0
KEELLS FOOD PRODUCTS PLC,KFP.N0000,414,8,167.0,171.0,171.0,168.0,171.0,4.0,2.4
KEGALLE PLANTATIONS PLC,KGAL.N0000,750,9,133.5,140.0,140.0,134.25,138.0,4.5,3.37
KELANI CABLES PLC,KCAB.N0000,4972,38,1238.75,1268.0,1268.0,1235.0,1236.5,-2.25,-0.18
KELANI TYRES PLC,TYRE.N0000,31500,62,89.9,90.0,90.0,89.8,89.9,0.0,0.0
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,17556,27,89.9,88.8,91.9,88.6,88.9,-1.0,-1.11
KERNER HAUS GLOBAL SOLUTIONS PLC,CPRT.N0000,7,3,780.5,670.0,763.0,670.0,780.5,0.0,0.0
KOTAGALA PLANTATIONS PLC,KOTA.N0000,1252042,217,9.8,9.9,9.9,9.4,9.5,-0.3,-3.06
KOTMALE HOLDINGS PLC,LAMB.N0000,15,5,1426.0,1450.0,1450.0,1410.0,1426.0,0.0,0.0
L O L C HOLDINGS PLC,LOLC.N0000,8671,71,549.5,554.5,554.5,547.75,548.75,-0.75,-0.14
L V L ENERGY FUND PLC,LVEF.N0000,768714,175,10.8,11.0,11.0,10.6,10.7,-0.1,-0.93
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,109,5,453.0,455.0,460.0,455.0,460.0,7.0,1.55
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,353886,130,50.1,50.7,51.5,50.0,50.8,0.7,1.4
LANKA ASHOK LEYLAND PLC,ASHO.N0000,88,15,3827.5,3810.25,3900.0,3800.0,3827.5,0.0,0.0
LANKA CERAMIC PLC,CERA.N0000,426,11,174.0,177.0,177.0,171.25,177.0,3.0,1.72
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,1779339,168,9.2,9.4,9.4,8.9,9.0,-0.2,-2.17
LANKA IOC PLC,LIOC.N0000,277743,94,127.75,128.75,128.75,127.75,128.5,0.75,0.59
LANKA MILK FOODS (CWE) PLC,LMF.N0000,165518,105,67.9,68.0,68.1,67.0,67.2,-0.7,-1.03
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,866126,159,37.1,38.0,38.9,37.1,38.0,0.9,2.43
LANKA TILES PLC,TILE.N0000,15944,43,49.9,49.8,49.9,49.7,49.9,0.0,0.0
LANKA VENTURES PLC,LVEN.N0000,5848,13,74.9,75.0,75.0,72.1,74.3,-0.6,-0.8
LANKA WALLTILE PLC,LWL.N0000,41678,53,49.8,50.0,50.0,49.2,49.4,-0.4,-0.8
LANKEM DEVELOPMENTS PLC,LDEV.N0000,49311,50,22.5,22.4,22.5,21.9,22.2,-0.3,-1.33
LAUGFS GAS PLC,LGL.N0000,940552,310,74.0,74.0,74.8,72.0,72.4,-1.6,-2.16
LAUGFS GAS PLC,LGL.X0000,56847,81,61.1,61.8,61.8,58.6,60.5,-0.6,-0.98
LAUGFS POWER PLC,LPL.X0000,76112,62,10.9,11.4,11.4,10.8,10.8,-0.1,-0.92
LAUGFS POWER PLC,LPL.N0000,33612,28,15.0,15.0,15.1,14.5,15.0,0.0,0.0
LAXAPANA PLC,LITE.N0000,3092,11,57.0,59.1,59.1,57.0,59.0,2.0,3.51
LB FINANCE PLC,LFIN.N0000,197769,97,153.25,153.0,155.0,153.0,153.0,-0.25,-0.16
LEE HEDGES PLC,SHAW.N0000,3140,4,215.0,215.25,215.25,215.0,215.25,0.25,0.12
LION BREWERY (CEYLON) PLC,LION.N0000,11,3,1607.0,1704.5,1704.5,1605.0,1607.0,0.0,0.0
LOLC FINANCE PLC,LOFC.N0000,698171,98,5.8,5.8,5.8,5.7,5.7,-0.1,-1.72
LOLC GENERAL INSURANCE PLC,LGIL.N0000,21751,19,8.3,8.4,8.4,8.1,8.1,-0.2,-2.41
LOTUS HYDRO POWER PLC,HPFL.N0000,6078,13,14.2,14.0,14.3,14.0,14.3,0.1,0.7
LUMINEX PLC,LUMX.N0000,8220,21,6.7,6.8,6.8,6.6,6.7,0.0,0.0
MADULSIMA PLANTATIONS PLC,MADU.N0000,6052,15,12.0,12.0,12.0,11.8,11.8,-0.2,-1.67
MAHARAJA FOODS PLC,MFPE.N0000,67984,41,12.3,12.3,12.3,11.8,12.0,-0.3,-2.44
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,2536,11,48.6,47.7,49.5,47.7,48.0,-0.6,-1.23
MAHAWELI REACH HOTELS PLC,MRH.N0000,110,3,19.2,19.3,19.9,19.3,19.9,0.7,3.65
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,22,4,43.0,40.7,43.4,40.7,43.0,0.0,0.0
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,374,8,62.1,62.4,62.4,60.0,62.3,0.2,0.32
MARAWILA RESORTS PLC,MARA.N0000,192894,23,7.0,6.9,6.9,6.8,6.8,-0.2,-2.86
MASKELIYA PLANTATIONS PLC,MASK.N0000,5432,26,83.0,85.9,86.0,82.5,83.2,0.2,0.24
MELSTACORP PLC,MELS.N0000,112806,83,174.0,175.0,175.0,173.5,173.5,-0.5,-0.29
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,28,8,502.0,537.0,537.0,535.0,502.0,0.0,0.0
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,85858,62,10.9,11.1,11.2,10.9,11.0,0.1,0.92
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,1203,9,6.7,7.0,7.0,6.7,6.7,0.0,0.0
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,306259,28,2.2,2.2,2.2,2.1,2.1,-0.1,-4.55
MYLAND DEVELOPMENTS PLC,MDL.N0000,20103,26,20.5,21.0,21.5,19.1,21.0,0.5,2.44
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,6032,58,650.0,673.5,673.75,650.25,660.0,10.0,1.54
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,32036,68,140.0,141.5,142.0,140.0,141.25,1.25,0.89
NATIONS TRUST BANK PLC,NTB.X0000,3,1,391.0,391.0,391.0,391.0,391.0,0.0,0.0
NATIONS TRUST BANK PLC,NTB.N0000,13915,19,300.75,303.0,303.0,300.5,302.0,1.25,0.42
NAWALOKA HOSPITALS PLC,NHL.N0000,60288,33,10.7,11.0,11.0,10.6,10.6,-0.1,-0.93
ODEL PLC,ODEL.N0000,67,5,11.9,11.4,11.9,11.4,11.9,0.0,0.0
OFFICE EQUIPMENT PLC,OFEQ.N0000,2967,45,258.25,278.0,304.0,278.0,300.0,41.75,16.17
ON'ALLY HOLDINGS PLC,ONAL.N0000,139,4,44.6,44.0,46.4,44.0,44.6,0.0,0.0
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,132892,151,38.4,38.4,38.7,38.0,38.1,-0.3,-0.78
PALM GARDEN HOTELS PLC,PALM.N0000,248,3,72.9,70.1,70.1,70.1,70.1,-2.8,-3.84
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,189699,161,59.1,59.7,59.7,58.9,59.2,0.1,0.17
PANASIAN POWER PLC,PAP.N0000,383709,68,24.6,24.7,25.0,24.1,24.9,0.3,1.22
PARAGON CEYLON PLC,PARA.N0000,868,22,169.75,170.0,190.0,157.0,182.75,13.0,7.66
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,1177,8,42.4,43.0,44.0,41.2,44.0,1.6,3.77
PEOPLE'S INSURANCE PLC,PINS.N0000,46989,47,31.4,31.3,31.4,30.9,31.2,-0.2,-0.64
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,36855,74,25.8,25.3,26.0,25.1,25.4,-0.4,-1.55
PGP GLASS CEYLON PLC,GLAS.N0000,8169,14,55.3,55.8,55.9,55.3,55.7,0.4,0.72
PMF FINANCE PLC,PMB.N0000,22344,49,14.3,14.4,14.5,14.0,14.0,-0.3,-2.1
PRIME LANDS RESIDENCIES PLC,PLR.N0000,346370,73,30.8,31.0,31.2,30.7,31.0,0.2,0.65
PRINTCARE PLC,CARE.N0000,1933,9,54.5,57.0,57.0,54.4,54.4,-0.1,-0.18
R I L PROPERTY PLC,RIL.N0000,857443,196,31.9,32.0,32.3,31.3,32.0,0.1,0.31
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,3231,25,97.5,97.0,104.0,93.0,102.75,5.25,5.38
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,84684,63,25.2,25.2,25.5,24.2,24.9,-0.3,-1.19
RAMBODA FALLS PLC,RFL.N0000,428,13,42.2,39.3,42.0,39.3,40.6,-1.6,-3.79
RENUKA AGRI FOODS PLC,RAL.N0000,10944656,752,9.2,9.3,10.1,9.2,9.8,0.6,6.52
RENUKA CITY HOTELS PLC.,RENU.N0000,858,18,832.25,859.25,860.0,855.0,855.0,22.75,2.73
RENUKA FOODS PLC,COCO.N0000,1054758,97,40.1,41.4,41.8,39.0,41.3,1.2,2.99
RENUKA FOODS PLC,COCO.X0000,64342,58,32.6,32.9,34.0,32.9,33.2,0.6,1.84
RENUKA HOLDINGS PLC,RHL.X0000,5501,8,35.9,35.9,36.0,35.9,36.0,0.1,0.28
RENUKA HOLDINGS PLC,RHL.N0000,286869,26,41.2,43.0,43.3,42.5,43.0,1.8,4.37
RENUKA HOTELS PLC,RCH.N0000,37,2,250.0,255.75,255.75,248.25,250.0,0.0,0.0
RESUS ENERGY PLC,HPWR.N0000,20922,18,47.1,47.5,47.9,47.1,47.9,0.8,1.7
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,283301,90,40.5,41.0,41.1,40.0,40.2,-0.3,-0.74
RICHARD PIERIS EXPORTS PLC,REXP.N0000,1489,22,395.25,398.5,398.5,390.0,391.25,-4.0,-1.01
ROYAL CERAMICS LANKA PLC,RCL.N0000,291715,109,43.8,44.0,44.0,43.4,43.8,0.0,0.0
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,125,7,57.5,59.0,59.4,57.0,57.2,-0.3,-0.52
SAMPATH BANK PLC,SAMP.N0000,355274,684,141.75,142.75,142.75,140.5,141.25,-0.5,-0.35
SAMSON INTERNATIONAL PLC,SIL.N0000,13,3,380.25,395.0,395.0,395.0,380.25,0.0,0.0
SANASA DEVELOPMENT BANK PLC,SDB.N0000,2635,13,58.1,58.0,59.7,58.0,58.3,0.2,0.34
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,57169,56,42.6,42.7,43.0,41.3,42.3,-0.3,-0.7
SATHOSA MOTORS PLC,SMOT.N0000,60,10,1653.75,1645.0,1645.0,1625.0,1653.75,0.0,0.0
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,252,27,1062.0,1160.0,1189.0,1120.0,1185.75,123.75,11.65
SERENDIB HOTELS PLC,SHOT.X0000,135767,47,14.6,14.3,14.3,13.9,14.0,-0.6,-4.11
SERENDIB HOTELS PLC,SHOT.N0000,6,3,21.2,22.0,22.0,21.6,21.2,0.0,0.0
SERENDIB LAND PLC,SLND.N0000,141,6,1801.75,1974.75,1974.75,1708.0,1710.25,-91.5,-5.08
SEYLAN BANK PLC,SEYB.N0000,8194,23,104.0,103.5,105.0,103.5,104.25,0.25,0.24
SEYLAN BANK PLC,SEYB.X0000,25546,80,72.5,73.0,73.8,72.6,73.0,0.5,0.69
SEYLAN DEVELOPMENTS PLC,CSD.N0000,98126,92,31.5,32.0,32.0,30.0,30.6,-0.9,-2.86
SIERRA CABLES PLC,SIRA.N0000,1371816,318,33.7,33.7,33.7,33.0,33.0,-0.7,-2.08
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,26284,107,133.0,132.25,158.0,132.25,140.75,7.75,5.83
SINGER (SRI LANKA) PLC,SINS.N0000,119132,86,86.2,87.1,87.1,84.8,86.0,-0.2,-0.23
SINGER FINANCE LANKA PLC,SFIN.N0000,11472,45,58.4,58.5,58.5,57.0,57.2,-1.2,-2.05
SINGHE HOSPITALS PLC,SINH.N0000,774490,117,10.6,10.8,11.2,10.5,11.0,0.4,3.77
SMB FINANCE PLC,SEMB.N0000,480668,45,0.7,0.8,0.8,0.7,0.8,0.1,14.29
SMB FINANCE PLC,SEMB.X0000,129443,19,0.4,0.3,0.4,0.3,0.3,-0.1,-25.0
SOFTLOGIC CAPITAL PLC,SCAP.N0000,244551,63,5.2,5.4,5.4,5.1,5.1,-0.1,-1.92
SOFTLOGIC FINANCE PLC,CRL.N0000,9281,15,5.2,5.2,5.3,5.1,5.2,0.0,0.0
ABANS ELECTRICALS PLC,ABAN.N0000,1020,77,1180.25,1233.5,1233.5,1190.0,1198.75,18.5,1.57
ABANS FINANCE PLC,AFSL.N0000,6513,44,70.3,73.0,76.2,72.5,74.0,3.7,5.26
ACCESS ENGINEERING PLC,AEL.N0000,681472,438,76.0,76.0,76.0,75.0,75.6,-0.4,-0.53
ACL CABLES PLC,ACL.N0000,410052,243,254.0,257.0,258.0,254.5,255.0,1.0,0.39
ACL PLASTICS PLC,APLA.N0000,6778,80,1654.5,1690.0,1700.0,1690.0,1694.0,39.5,2.39
ACME PRINTING & PACKAGING PLC,ACME.N0000,81016,30,6.0,6.0,6.1,5.9,6.0,0.0,0.0
